session,response,WCPM,Accuracy,wc,nRefWords,words
30908,544695,126.1,1.000,71,73,"has a plant and a pot the kids will learn to take care of the houseplants is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals care of as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
30915,544814,35.1,0.831,49,73,"room six is learning to grow home but room six is learning learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they has a plant they grow everyday plant and a pot the kids will learn to and a each as learning to about the needs of their of their plants at the end of the school learning to grow plants each will take student plants home but for houseplants"
31525,553410,71.6,0.945,69,73,"room six is learning to grow plants each and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
31788,557541,87.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so so many different plants around the room"
31930,560132,116.4,0.973,71,73,"room six is learning to each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
31942,560338,88.5,0.972,70,73,"pot the kids will learn to take care of learning to grow six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their around the journals as they learn about will write in of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so so many different plants around the room"
32192,564810,39.6,0.842,48,73,"has will six is will learn to grow plants each student has a plant and a six is a pot the kids will learn to take care of the as they grow they will write in in their has a plant and a pot the needs needs of their their plants at the around of the school year they will take will take their plants home but plant and a pot"
32205,565044,152.6,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
32210,565135,73.1,1.000,70,73,"learn to take care learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants houseplants as they grow everyday they will write in their journals as they learn about the needs of as they learn about the needs of their plants at the end a pot at the end of the school year they will take their plants home but plants for now the classroom is much greener with so many many different plants around the room"
32213,565193,107.2,0.986,72,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs will learn to their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
32239,565660,117.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
32258,566017,39.4,0.983,58,73,"room room six is learning to grow plants each student has a plant and a pot pot the kids will learn to take care of the the houseplants as they grow everyday they needs around write in their journals as they as they learn about the needs of their plants at the plants at the has at the end of the school year will learn they will take their plants home but for"
32714,573915,35.1,0.944,51,73,"room six is learning to learning learning to grow plants each each student to take has a plant and a pot the kids will learn to take care of pot the kids will learn learn to take care of the houseplants classroom is and a pot the kids will learn to take care of everyday they will write in their a pot the they will write write in their their journals journals journals as they learn about the needs for now the of their plants at the end of the at at the end of the school year they will take"
32922,577299,45.8,0.971,67,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to to take care of the houseplants plants home but as they grow everyday they will write in their journals will at the they learn about the they will the needs of their needs of their plants at the the end of the school year year they they will take their plants home but for now the classroom is much greener with so learn different"
35171,611806,66.9,0.986,72,73,"room six is learning to learning to grow plants each student has a plant and a pot the kids will learn to take care care of the houseplants as they grow at the end of the they will write in their journals as they learn about the needs of their plants at the end of the school at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around around the room"
37230,646374,85.4,0.889,64,73,"room six is learning to grow plants each student has a plant and a pot the a pot the a plant and a care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is everyday they will write greener their plants now the many different plants around the has a plant and a pot the"
38071,655115,91.9,1.000,71,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the their plants at the end of the school year they will take their plants take their plants home but for now the classroom is much their plants at the end much greener with so many different plants around"
40760,679535,81.5,0.877,64,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write journals the needs of they learn about the needs of their plants at the end of the school year will learn to take care of they take their plants home but but for now the classroom is six is learning to different plants with journals as they learn about the plants around the room"
40865,680981,30.2,0.971,34,73,"plants at they learn about learning to grow plants each student has a plant and a their plants home but for now the and a pot the kids will learn to learn to take care of the but for now plant and as they grow everyday they will write in their journals journals as they learn"
40887,681371,62.4,0.945,69,73,"room six is learning to grow plants each student has a plant and a and a pot plant and kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about learn about the needs for now plant at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
40964,682706,96.5,0.938,60,73,"will write in their journals as they learn about the needs has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their care of the about the needs needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
41091,684840,65.2,0.959,70,73,"room six is learning to grow plants each student each student has a plant and a pot the kids will learn to take to take the kids will learn six to take care of the houseplants care of the houseplants as they grow everyday they will they will write in their journals has at the journals as they learn about six is the needs for now plant and a at the end of the school year they will take their plants home but for now but for now the classroom is much greener greener with so many different plants around the room"
41105,685085,101.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
41120,685377,86.9,1.000,72,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so greener with so many different plants around write in the end of the"
41664,693677,41.5,0.833,60,73,"room six is learning learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in will write in their journals as they learn about the needs of their plants at the end of the school year year they will take their plants home but for for will take their plants home but for of the school"
42279,701456,88.7,0.972,69,73,"classroom is is learning to grow plants each student has a plant and a pot the kids will learn the kids will learn to take care of the houseplants as they grow everyday they they will write in write in their journals as they learn about the needs of their plants at the end at the end of the school at the end of the school year they will take their plants home but for for now the classroom will learn to greener with so many different plants around the room"
42307,701807,60.1,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their their plants at the end of the school year they will take their plants home but for now the classroom is much is much greener with so many different plants around the room and a pot the"
42972,708883,41.2,0.906,58,73,"and a learn to take is learning to grow plants plants each each student has a plant and a pot the kids will learn to take care learn to take care of the houseplants has a plant and a pot has a plant and a pot the at the everyday they they will write in pot the write in their care of the houseplants as as they learn about the needs of a plant and a pot the kids at the end of the school year they will take their plants home but for now the a plant and a but for now the classroom is much greener greener with"
44086,718454,110.8,1.000,73,73,"room six is learning to grow plants each student student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write but for in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
44169,719362,66.5,1.000,71,73,"will take is learning to grow plants each student has a plant and a pot the kids will learn kids will learn to take care of the houseplants as they grow everyday they will they will write in their journals as they learn about as they learn about the needs of their plants needs of their plants at the end of the school year they will take their plants home but for now the classroom is learning plant and a greener with so different plants home but for now the classroom is much greener with so many will so many different plants around the room"
44867,725921,93.3,0.820,50,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the and a pot the a pot the kids"
45071,727934,115.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
46117,738017,101.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as houseplants as they grow everyday they will write in their journals as they learn about as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
46836,744738,116.6,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
46990,746499,79.4,0.932,68,73,"room six is learning to grow plants a plant each student has a plant and a pot the kids will learn to take care of the houseplants learning to grow learning to grow grow everyday they will write in their journals around the room about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47002,746647,84.4,0.904,66,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday as they grow at everyday they will write in their journals as they learn about the needs of their plants at the will learn to take care of take their plants home but for now the classroom is much greener with so many different plants around the room"
47041,747122,120.8,1.000,73,73,"room six is learning to grow plants plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn will learn about the needs of their plants at the end of the of the school year they will take their plants home but for now the classroom is much greener with so with so many different plants around the room"
47043,747144,81.0,0.635,40,73,"room six to take and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their the needs of with so the needs of their plants at the end of the school year they will to will learn to take care is learning to to"
47092,747760,96.8,0.644,47,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the will learn to will learn take their plants home but for now the classroom is much greener with so many different plants around the room"
47152,748439,157.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47361,750396,155.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47363,750434,155.7,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47388,750676,143.7,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47421,751009,193.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47464,751448,182.3,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47502,751936,166.9,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the now the classroom is much greener with so many different plants around the room"
47767,754881,71.8,0.959,70,73,"room six is learning to grow plants each they will take their plant and a pot the kids will learn to take care of the houseplants plant houseplants as they grow everyday they will write in their write in their journals as they learn about the needs needs of their plants at the end of the school year they will take their plants home but for for now the classroom for now the classroom is much much greener with so many different plants around the room"
47824,755436,175.1,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
47894,756112,132.6,0.986,72,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different around the room"
47912,756281,50.3,0.958,69,73,"room six is learning to grow plants each student has a a a pot the kids will learn to take care of the houseplants as they grow everyday as they grow everyday they will write will write in their journals as as they learn about the needs needs of their plants at the end of the school year they will take their plants home but for now the now the classroom is now many much greener with so many different plants needs now the classroom is much greener with"
48155,758456,70.9,1.000,71,73,"a plant and a is learning to grow plants each student has a plant and a plant and a pot the has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener greener with so many different plants around the room"
48268,759443,58.9,0.917,66,73,"around the six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday has a everyday they will write and a journals as they learn about the now the and a pot the at the end of the school year they will take their plants home but for now the classroom is much greener they learn with so many different plants around the around the room"
48359,760154,133.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
48410,760704,124.0,1.000,73,73,"year they will take their room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room home but for now will learn has a plant and a pot now the each student has a plant and"
48418,760778,81.8,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the now the classroom is much greener greener with so many different plants around the room"
48539,761918,49.9,1.000,73,73,"room six is learning to grow plants each each student has has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their and a pot write in their journals as they learn about the needs needs needs for needs of their plants at the end of the school year at the end of the school year they will has a room take their plants home but for now the classroom is much will write in greener greener with so many with so many different plants around the room"
48821,764262,83.9,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the at the end of the school year they will take their plants home but for now the classroom is much greener with so so many different plants around the room"
48927,765401,115.3,0.986,72,73,"room six is learning to grow houseplants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room of the school six is learning to grow now the classroom is much greener with so many different plants around the room and a pot the kids will learn to pot the kids will learn six is"
48972,765857,117.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
48978,765940,186.8,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
49169,767979,67.6,0.973,71,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care to take care of the houseplants as they grow everyday they will write will take write in their journals grow as they learn about the needs needs of their plants at the end of the school year they will take their plants home but for now the classroom is will is much plants each student has so many different plants around the room"
49197,768336,130.0,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
49373,770436,97.0,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year at the end of the school year they will take their plants home but for now the classroom is much greener with so with so many different plants around the room"
49541,772056,35.5,1.000,46,73,"a pot the is learning to grow will learn to plants each student each student has a plant and a pot the a plant and a pot the kids will learn to will learn to take pot the kids greener with will learn to will write in the needs of care of the a plant and a pot the of the houseplants as they grow everyday they will write write they will write in their learn to journals as they learn about the needs needs of their plants at the end of home a pot"
49581,772461,86.0,0.986,72,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their write in at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
49599,772608,85.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the their plants the room houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener greener with so many different plants around the room"
49607,772669,63.1,0.945,69,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow the room a pot the kids will learn to write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many with so many around the room"
49661,773103,126.2,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
49698,773430,166.5,0.973,71,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many around the room"
49703,773479,115.1,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
49841,774707,130.0,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
49998,776218,151.3,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50020,776451,85.6,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50030,776552,128.6,0.986,72,73,"room six is learning to grow the room each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50031,776570,111.7,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the their needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50061,776908,90.5,1.000,73,73,"room six is learning to grow plants each student has a plant and and a pot the kids will learn to take care of the houseplants as plants as they grow everyday they will write in their journals as they learn about the needs of their will the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener learning with so many different plants around the room"
50103,777301,137.4,0.973,71,73,"room six is learning to grow plants each student has a plant and a pot the kids will will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many around the room"
50118,777467,182.7,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50140,777707,76.6,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much needs greener with so many different plants around the room"
50193,778288,170.4,1.000,70,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants"
50212,778450,139.6,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants a pot at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50232,778650,152.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50645,782570,104.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50666,782756,96.2,0.863,63,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of home but for now the classroom take their plants home but for now the classroom is much greener with so many different plants around the room"
50687,782972,145.1,1.000,73,73,"room six is learning has a learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
50918,785004,157.1,1.000,69,73,"room six is learning to learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different"
50941,785264,104.2,1.000,73,73,"room six is learning to grow plants each student has a has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
51042,786366,84.4,0.959,70,73,"room six is learning to grow plants each student has has a plant and a pot the a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as as they grow everyday they will write in their journals as they learn about their plants at at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
51192,787885,51.4,0.958,69,73,"but for now the classroom is six is learning to grow plants each student has a plant and a pot the pot the a pot the kids will pot the kids learn about grow plants each student has student has a plant kids will learn to take care of the a plant and a pot the home home plants at they grow everyday they will write they will write in their journals as they learn about the needs of their plants at the end of and a pot of the school year they will take their plants home but for now the classroom classroom is much greener with for now the classroom is so many different many different plants about the room"
51264,788622,71.2,1.000,73,73,"room six is learning learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
51727,793382,137.9,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants their plants home but for now the classroom is much greener with so many different plants around the room around the room"
52113,797698,103.8,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
52324,800012,79.1,0.931,67,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in will write in their journals as they learn as they grow everyday they of the houseplants at the end of the school at the end of the school year they will take their plants home but for now the classroom has a much greener with so many different plants around the a plant about the"
52490,801660,120.6,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
52743,804176,47.6,1.000,71,73,"room six is learning to grow plants each student end of the has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals journals as home as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different greener with so many different plants around"
52746,804231,45.9,0.910,61,73,"has a plant and a learning to grow plants each student has a plant and and a pot the kids will learn to take care of the houseplants as their plants home but for now the classroom everyday they will write care of the will write in their journals as they learn about the needs and a needs for now the at the end of the school year they will take their plants home but for now the classroom will learn to take care much much greener with so many different plants"
52812,805155,67.2,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will will learn to write in their in their journals their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
53212,808904,86.9,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school grow year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
53264,809373,112.4,0.826,57,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their will learn to at the end of the school year they will home but for now the classroom is much greener with so many different"
53536,811931,111.5,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so so with so many different plants around the room around the room home but for now the will write in needs of their plants at the greener with so the end of the school end of the school year they will a plant and a pot the learn about the needs their journals as they learn about the has a plant and a pot the kids is learning to and a pot the kids will learn to needs is learning to the room"
