token	ngram_1_1	ngram_1_0	ngram_2_0	word_len	cmu_len	dolch_0a	dolch_0b	dolch_1	dolch_2	dolch_3
_START_	2.89174061585493	0.0	0.0	0	0	1	1	1	1	1
Sam	0.08594705249092477	2.89174061585493	2.89174061585493	3	3	0	0	0	0	0
and	0.00024780758592676133	0.5059877411633666	0.08594705249092477	3	3	1	1	1	1	1
Jo	0.001364227892765734	0.19143639634349285	0.00024780758592676133	2	2	0	0	0	0	0
went	0.0	0.007794779787020876	0.001364227892765734	4	4	0	1	1	1	1
for	0.5991085391549295	1.831273743473652	0.0	3	3	1	1	1	1	1
a	0.020795398032667528	455.6137557569929	0.5991085391549295	1	1	1	1	1	1	1
hike	0.02218676037062493	0.14828944676791686	0.020795398032667528	4	3	0	0	0	0	0
.	0.14138794884786013	0.14138794884786013	0.02218676037062493	1	0	1	1	1	1	1
_START_	516.7512070806506	0.0	0.0	0	0	1	1	1	1	1
They	2.143456042603486	516.7512070806506	516.7512070806506	4	2	0	0	0	0	0
took	0.4891215144384585	7.3720450994888305	2.143456042603486	4	3	0	0	0	0	0
a	0.013348832254503477	20.357887240338567	0.4891215144384585	1	1	1	1	1	1	1
path	0.19570319115804535	3.1154608700350135	0.013348832254503477	4	3	0	0	0	0	0
through	0.43893107782837065	0.6757898315317619	0.19570319115804535	7	3	0	0	0	0	0
the	0.8939807871609475	231.0486749488742	0.43893107782837065	3	2	1	1	1	1	1
woods	1.7494754226719742	9.2612583799922	0.8939807871609475	5	4	0	0	0	0	0
.	2.9559334267724195	2.9559334267724195	1.7494754226719742	1	0	1	1	1	1	1
_START_	8.989785363772425	0.0	0.0	0	0	1	1	1	1	1
Suddenly	2.1965678035672163	8.989785363772425	8.989785363772425	8	7	0	0	0	0	0
,	0.0007839821885942196	8.072470439133138	2.1965678035672163	1	0	1	1	1	1	1
Sam	0.0020700200624650857	3.814525009652309	0.0007839821885942196	3	3	0	0	0	0	0
heard	0.0012393160345863525	0.009989889471206936	0.0020700200624650857	5	3	0	0	0	0	0
a	0.15446689616283038	5.52156406542292	0.0012393160345863525	1	1	1	1	1	1	1
noise	0.005325763288482979	1.5596672865127241	0.15446689616283038	5	3	0	0	0	0	0
coming	0.033968334433050355	0.042727048303808274	0.005325763288482979	6	5	0	0	0	0	0
from	3.261899220238648	8.778669771587731	0.033968334433050355	4	4	0	0	1	1	1
the	0.6468114368115071	1114.742050854371	3.261899220238648	3	2	1	1	1	1	1
tree	0.025213510147440023	12.631100520552463	0.6468114368115071	4	3	1	1	1	1	1
above	0.0007837596038930935	0.052859211274008125	0.025213510147440023	5	4	0	0	0	0	0
their	0.2661629819714028	1.1480794074259857	0.0007837596038930935	5	3	0	0	0	1	1
heads	1.3824804499727477	7.407554691578902	0.2661629819714028	5	4	0	0	0	0	0
.	4.034671268412195	4.034671268412195	1.3824804499727477	1	0	1	1	1	1	1
_START_	0.8072106868975552	0.0	0.0	0	0	1	1	1	1	1
Jo	0.00016060379551764226	0.8072106868975552	0.8072106868975552	2	2	0	0	0	0	0
climbed	0.0	0.00048529661800973114	0.00016060379551764226	7	5	0	0	0	0	0
up	0.173426372395893	1.06277384736027	0.0	2	2	1	1	1	1	1
to	0.6955880364524196	131.17478935976683	0.173426372395893	2	2	1	1	1	1	1
see	6.371323545050048	134.25169525317705	0.6955880364524196	3	2	1	1	1	1	1
what	1.0661110516363972	13.249146344266634	6.371323545050048	4	3	0	1	1	1	1
the	0.016553210105680786	55.055492473494255	1.0661110516363972	3	2	1	1	1	1	1
noise	0.2459311717333377	6.8492004230825305	0.016553210105680786	5	3	0	0	0	0	0
was	0.000649606552748026	0.4418510069629179	0.2459311717333377	3	3	0	1	1	1	1
and	0.005379679881895119	3.6519633131767297	0.000649606552748026	3	3	1	1	1	1	1
found	0.05373948414863722	14.513214275629268	0.005379679881895119	5	4	0	0	0	1	1
two	0.00040135307361275214	0.6714551583157669	0.05373948414863722	3	2	1	1	1	1	1
baby	0.00018470947346774737	0.032708324158654066	0.00040135307361275214	4	4	1	1	1	1	1
squirrels	0.0005682531592362593	0.004320495604724207	0.00018470947346774737	9	7	0	0	0	0	0
.	0.17515607905066727	0.17515607905066727	0.0005682531592362593	1	0	1	1	1	1	1
_START_	4882.650869014887	0.0	0.0	0	0	1	1	1	1	1
The	0.09619817185299263	4882.650869014887	4882.650869014887	3	2	0	0	0	0	0
babies	0.07449696327945204	0.9800792216121182	0.09619817185299263	6	5	0	0	0	0	0
were	0.00012382677488112276	0.3522890085296789	0.07449696327945204	4	2	0	0	1	1	1
alone	0.4357032968878453	0.98172271460409	0.00012382677488112276	5	4	0	0	0	0	0
,	1.7402468744804052	50.936337715267925	0.4357032968878453	1	0	1	1	1	1	1
but	7.453380461453488	1358.02655256798	1.7402468744804052	3	3	0	1	1	1	1
their	0.0202426713497108	11.916591658712711	7.453380461453488	5	3	0	0	0	1	1
mother	0.003188536396208013	3.2912687805160425	0.0202426713497108	6	4	1	1	1	1	1
must	0.06597739880115087	0.28631771084449753	0.003188536396208013	4	4	0	1	1	1	1
be	0.09392526578722027	275.1613973800215	0.06597739880115087	2	2	0	1	1	1	1
somewhere	0.035337014247343326	0.44330231894789773	0.09392526578722027	9	6	0	0	0	0	0
near	0.015493755961275666	0.6358373285227433	0.035337014247343326	4	3	0	0	0	0	0
.	1.5915674167877487	1.5915674167877487	0.015493755961275666	1	0	1	1	1	1	1
_START_	4882.650869014887	0.0	0.0	0	0	1	1	1	1	1
The	5.4618328275581485	4882.650869014887	4882.650869014887	3	2	0	0	0	0	0
children	0.025022350683271355	51.16408997067634	5.4618328275581485	8	7	1	1	1	1	1
watched	0.001224359128653989	0.04896972752208609	0.025022350683271355	7	4	0	0	0	0	0
and	0.06548803728809036	0.5479914053750213	0.001224359128653989	3	3	1	1	1	1	1
waited	0.64709606322684	2.7555557444131527	0.06548803728809036	6	5	0	0	0	0	0
.	1.6097634927779731	1.6097634927779731	0.64709606322684	1	0	1	1	1	1	1
_START_	2.0214238229080546	0.0	0.0	0	0	1	1	1	1	1
Sure	0.5444039330594506	2.0214238229080546	2.0214238229080546	4	3	0	0	0	0	0
enough	1.0567637474889393	1.334180783804514	0.5444039330594506	6	4	0	0	0	0	0
,	2.1627519853851607	39.89236928493453	1.0567637474889393	1	0	1	1	1	1	1
the	3.4100397691011746	3965.816609408768	2.1627519853851607	3	2	1	1	1	1	1
mother	0.005181212930460881	31.404440635395108	3.4100397691011746	6	4	1	1	1	1	1
soon	0.00028178655834028987	0.03078107513503275	0.005181212930460881	4	3	0	1	1	1	1
returned	0.043309880679976605	0.2611206301093053	0.00028178655834028987	8	6	0	0	0	0	0
with	0.5450610474587743	2.2585550868080038	0.043309880679976605	4	3	0	1	1	1	1
a	0.029452744860933345	503.8888918280746	0.5450610474587743	1	1	1	1	1	1	1
mouthful	0.30996734621112465	0.4584524713810298	0.029452744860933345	8	6	0	0	0	0	0
of	0.00031042425119491774	0.4167480346391354	0.30996734621112465	2	2	0	0	1	1	1
nuts	0.04264995442971857	0.3060133319785169	0.00031042425119491774	4	4	0	0	0	0	0
.	0.9658874090782272	0.9658874090782272	0.04264995442971857	1	0	1	1	1	1	1
_START_	4882.650869014887	0.0	0.0	0	0	1	1	1	1	1
The	0.05815171099754673	4882.650869014887	4882.650869014887	3	2	0	0	0	0	0
noises	0.0021743755059228554	0.4289898591840953	0.05815171099754673	6	5	0	0	0	0	0
stopped	6.991743090682701e-05	0.003466037097587536	0.0021743755059228554	7	5	0	0	0	0	0
as	0.02378749548521213	0.25494301175073264	6.991743090682701e-05	2	2	0	0	1	1	1
the	0.1922435745302603	597.5218315500973	0.02378749548521213	3	2	1	1	1	1	1
baby	0.0012894979571836302	12.739630667520256	0.1922435745302603	4	4	1	1	1	1	1
squirrels	0.0	0.004320495604724207	0.0012894979571836302	9	7	0	0	0	0	0
began	0.0005927677090071003	0.0009307271574572776	0.0	5	5	0	0	0	0	0
to	0.23099292527566845	83.0134052447364	0.0005927677090071003	2	2	1	1	1	1	1
eat	2.645465365574517	14.700795873068273	0.23099292527566845	3	2	0	1	1	1	1
.	3.911401052169956	3.911401052169956	2.645465365574517	1	0	1	1	1	1	1
_START_	2.89174061585493	0.0	0.0	0	0	1	1	1	1	1
Sam	0.08594705249092477	2.89174061585493	2.89174061585493	3	3	0	0	0	0	0
and	0.00024780758592676133	0.5059877411633666	0.08594705249092477	3	3	1	1	1	1	1
Jo	6.06199853520335e-05	0.19143639634349285	0.00024780758592676133	2	2	0	0	0	0	0
smiled	0.0009637474843672076	0.0030548146278047057	6.06199853520335e-05	6	5	0	0	0	0	0
,	0.011531066804500872	6.653336726469474	0.0009637474843672076	1	0	1	1	1	1	1
knowing	0.7765610609928937	7.919675513277503	0.011531066804500872	7	4	0	0	0	0	0
the	0.0	3.714220644619896	0.7765610609928937	3	2	1	1	1	1	1
squirrels	0.009513367386664962	0.18400902704830213	0.0	9	7	0	0	0	0	0
were	0.0	0.04155169602564455	0.009513367386664962	4	2	0	0	1	1	1
safe	0.005719155810137674	0.4969211658113099	0.0	4	3	0	0	0	0	0
with	0.00299859246813553	0.26343495341243145	0.005719155810137674	4	3	0	1	1	1	1
their	0.2555215652946034	65.91353155168004	0.00299859246813553	5	3	0	0	0	1	1
mother	0.3863919412315076	3.2912687805160425	0.2555215652946034	6	4	1	1	1	1	1
.	14.24515002155636	14.24515002155636	0.3863919412315076	1	0	1	1	1	1	1
