token	ngram-1-1	ngrams-1-0	ngrams-2-0	ngrams-0-1	ngrams-0-2	word-len	sight-word	naive-ipa
_START_	2.89174061585493	0.0	0.0	2.89174061585493	0.08594705249092478	0	1	0
Sam	0.08594705249092478	2.89174061585493	2.89174061585493	0.5059877411633666	0.0002478075859267613	3	0	3
and	0.0002478075859267613	0.5059877411633666	0.08594705249092478	0.19143639634349283	0.001364227892765734	3	1	3
Jo	0.001364227892765734	0.19143639634349283	0.0002478075859267613	0.007794779787020877	0.0	2	0	3
went	0.0	0.007794779787020877	0.001364227892765734	1.8312737434736517	0.5991085391549295	4	1	4
for	0.5991085391549295	1.8312737434736517	0.0	455.61375575699293	0.020795398032667528	3	1	3
a	0.020795398032667528	455.61375575699293	0.5991085391549295	0.14828944676791683	0.02218676037062493	1	1	1
hike	0.02218676037062493	0.14828944676791683	0.020795398032667528	0.14138794884786013	0.14138794884786013	4	0	4
.	0.14138794884786013	0.14138794884786013	0.02218676037062493	0.0	0.0	1	0	0
_START_	516.7512070806506	0.0	0.0	516.7512070806506	2.143456042603486	0	1	0
They	2.143456042603486	516.7512070806506	516.7512070806506	7.372045099488831	0.4891215144384585	4	0	3
took	0.4891215144384585	7.372045099488831	2.143456042603486	20.357887240338567	0.013348832254503477	4	0	3
a	0.013348832254503477	20.357887240338567	0.4891215144384585	3.115460870035014	0.19570319115804538	1	1	1
path	0.19570319115804538	3.115460870035014	0.013348832254503477	0.6757898315317619	0.43893107782837065	4	0	3
through	0.43893107782837065	0.6757898315317619	0.19570319115804538	231.0486749488742	0.8939807871609475	7	0	3
the	0.8939807871609475	231.0486749488742	0.43893107782837065	9.2612583799922	1.7494754226719742	3	1	2
woods	1.7494754226719742	9.2612583799922	0.8939807871609475	2.9559334267724195	2.9559334267724195	5	0	4
.	2.9559334267724195	2.9559334267724195	1.7494754226719742	0.0	0.0	1	0	0
_START_	8.989785363772425	0.0	0.0	8.989785363772425	2.1965678035672163	0	1	0
Suddenly	2.1965678035672163	8.989785363772425	8.989785363772425	8.072470439133138	0.0007839821885942195	8	0	7
,	0.0007839821885942195	8.072470439133138	2.1965678035672163	3.8145250096523085	0.002070020062465086	1	0	0
Sam	0.002070020062465086	3.8145250096523085	0.0007839821885942195	0.009989889471206936	0.0012393160345863523	3	0	3
heard	0.0012393160345863523	0.009989889471206936	0.002070020062465086	5.52156406542292	0.15446689616283038	5	0	4
a	0.15446689616283038	5.52156406542292	0.0012393160345863523	1.559667286512724	0.005325763288482979	1	1	1
noise	0.005325763288482979	1.559667286512724	0.15446689616283038	0.042727048303808274	0.033968334433050355	5	0	4
coming	0.033968334433050355	0.042727048303808274	0.005325763288482979	8.778669771587731	3.261899220238648	6	0	6
from	3.261899220238648	8.778669771587731	0.033968334433050355	1114.742050854371	0.6468114368115071	4	1	4
the	0.6468114368115071	1114.742050854371	3.261899220238648	12.631100520552462	0.025213510147440023	3	1	2
tree	0.025213510147440023	12.631100520552462	0.6468114368115071	0.052859211274008125	0.0007837596038930935	4	0	3
above	0.0007837596038930935	0.052859211274008125	0.025213510147440023	1.148079407425986	0.26616298197140276	5	0	4
their	0.26616298197140276	1.148079407425986	0.0007837596038930935	7.407554691578902	1.3824804499727477	5	1	3
heads	1.3824804499727477	7.407554691578902	0.26616298197140276	4.034671268412195	4.034671268412195	5	0	4
.	4.034671268412195	4.034671268412195	1.3824804499727477	0.0	0.0	1	0	0
_START_	0.8072106868975552	0.0	0.0	0.8072106868975552	0.00016060379551764226	0	1	0
Jo	0.00016060379551764226	0.8072106868975552	0.8072106868975552	0.0004852966180097311	0.0	2	0	3
climbed	0.0	0.0004852966180097311	0.00016060379551764226	1.06277384736027	0.173426372395893	7	0	6
up	0.173426372395893	1.06277384736027	0.0	131.17478935976683	0.6955880364524196	2	1	2
to	0.6955880364524196	131.17478935976683	0.173426372395893	134.25169525317705	6.371323545050048	2	1	2
see	6.371323545050048	134.25169525317705	0.6955880364524196	13.249146344266636	1.0661110516363972	3	1	2
what	1.0661110516363972	13.249146344266636	6.371323545050048	55.055492473494255	0.016553210105680786	4	1	3
the	0.016553210105680786	55.055492473494255	1.0661110516363972	6.8492004230825305	0.2459311717333377	3	1	2
noise	0.2459311717333377	6.8492004230825305	0.016553210105680786	0.4418510069629179	0.000649606552748026	5	0	4
was	0.000649606552748026	0.4418510069629179	0.2459311717333377	3.6519633131767297	0.005379679881895119	3	1	3
and	0.005379679881895119	3.6519633131767297	0.000649606552748026	14.513214275629267	0.05373948414863722	3	1	3
found	0.05373948414863722	14.513214275629267	0.005379679881895119	0.6714551583157669	0.0004013530736127521	5	1	5
two	0.0004013530736127521	0.6714551583157669	0.05373948414863722	0.03270832415865407	0.00018470947346774737	3	1	2
baby	0.00018470947346774737	0.03270832415865407	0.0004013530736127521	0.004320495604724207	0.0005682531592362593	4	0	5
squirrels	0.0005682531592362593	0.004320495604724207	0.00018470947346774737	0.17515607905066727	0.17515607905066727	9	0	7
.	0.17515607905066727	0.17515607905066727	0.0005682531592362593	0.0	0.0	1	0	0
_START_	4882.650869014887	0.0	0.0	4882.650869014887	0.09619817185299265	0	1	0
The	0.09619817185299265	4882.650869014887	4882.650869014887	0.9800792216121182	0.07449696327945204	3	0	2
babies	0.07449696327945204	0.9800792216121182	0.09619817185299265	0.3522890085296789	0.00012382677488112276	6	0	6
were	0.00012382677488112276	0.3522890085296789	0.07449696327945204	0.9817227146040899	0.4357032968878453	4	1	3
alone	0.4357032968878453	0.9817227146040899	0.00012382677488112276	50.936337715267925	1.7402468744804052	5	0	6
,	1.7402468744804052	50.936337715267925	0.4357032968878453	1358.02655256798	7.453380461453487	1	0	0
but	7.453380461453487	1358.02655256798	1.7402468744804052	11.91659165871271	0.020242671349710802	3	1	3
their	0.020242671349710802	11.91659165871271	7.453380461453487	3.2912687805160425	0.003188536396208013	5	1	3
mother	0.003188536396208013	3.2912687805160425	0.020242671349710802	0.28631771084449753	0.06597739880115087	6	0	5
must	0.06597739880115087	0.28631771084449753	0.003188536396208013	275.1613973800215	0.09392526578722027	4	1	4
be	0.09392526578722027	275.1613973800215	0.06597739880115087	0.44330231894789784	0.035337014247343326	2	1	2
somewhere	0.035337014247343326	0.44330231894789784	0.09392526578722027	0.6358373285227433	0.015493755961275666	9	0	8
near	0.015493755961275666	0.6358373285227433	0.035337014247343326	1.5915674167877487	1.5915674167877487	4	0	3
.	1.5915674167877487	1.5915674167877487	0.015493755961275666	0.0	0.0	1	0	0
_START_	4882.650869014887	0.0	0.0	4882.650869014887	5.4618328275581485	0	1	0
The	5.4618328275581485	4882.650869014887	4882.650869014887	51.16408997067634	0.025022350683271355	3	0	2
children	0.025022350683271355	51.16408997067634	5.4618328275581485	0.04896972752208609	0.001224359128653989	8	0	8
watched	0.001224359128653989	0.04896972752208609	0.025022350683271355	0.5479914053750213	0.06548803728809036	7	0	4
and	0.06548803728809036	0.5479914053750213	0.001224359128653989	2.7555557444131527	0.64709606322684	3	1	3
waited	0.64709606322684	2.7555557444131527	0.06548803728809036	1.6097634927779731	1.6097634927779731	6	0	6
.	1.6097634927779731	1.6097634927779731	0.64709606322684	0.0	0.0	1	0	0
_START_	2.0214238229080546	0.0	0.0	2.0214238229080546	0.5444039330594506	0	1	0
Sure	0.5444039330594506	2.0214238229080546	2.0214238229080546	1.3341807838045139	1.0567637474889393	4	0	3
enough	1.0567637474889393	1.3341807838045139	0.5444039330594506	39.89236928493453	2.1627519853851607	6	0	5
,	2.1627519853851607	39.89236928493453	1.0567637474889393	3965.8166094087674	3.4100397691011746	1	0	0
the	3.4100397691011746	3965.8166094087674	2.1627519853851607	31.404440635395105	0.005181212930460881	3	1	2
mother	0.005181212930460881	31.404440635395105	3.4100397691011746	0.030781075135032747	0.0002817865583402899	6	0	5
soon	0.0002817865583402899	0.030781075135032747	0.005181212930460881	0.2611206301093053	0.043309880679976605	4	1	3
returned	0.043309880679976605	0.2611206301093053	0.0002817865583402899	2.2585550868080033	0.5450610474587743	8	0	7
with	0.5450610474587743	2.2585550868080033	0.043309880679976605	503.88889182807463	0.029452744860933345	4	1	3
a	0.029452744860933345	503.88889182807463	0.5450610474587743	0.45845247138102974	0.30996734621112465	1	1	1
mouthful	0.30996734621112465	0.45845247138102974	0.029452744860933345	0.4167480346391354	0.00031042425119491774	8	0	8
of	0.00031042425119491774	0.4167480346391354	0.30996734621112465	0.3060133319785169	0.04264995442971857	2	1	2
nuts	0.04264995442971857	0.3060133319785169	0.00031042425119491774	0.9658874090782271	0.9658874090782271	4	0	4
.	0.9658874090782271	0.9658874090782271	0.04264995442971857	0.0	0.0	1	0	0
_START_	4882.650869014887	0.0	0.0	4882.650869014887	0.05815171099754672	0	1	0
The	0.05815171099754672	4882.650869014887	4882.650869014887	0.42898985918409527	0.0021743755059228554	3	0	2
noises	0.0021743755059228554	0.42898985918409527	0.05815171099754672	0.0034660370975875356	6.991743090682701e-05	6	0	5
stopped	6.991743090682701e-05	0.0034660370975875356	0.0021743755059228554	0.25494301175073264	0.023787495485212126	7	0	4
as	0.023787495485212126	0.25494301175073264	6.991743090682701e-05	597.5218315500972	0.1922435745302603	2	1	2
the	0.1922435745302603	597.5218315500972	0.023787495485212126	12.739630667520256	0.0012894979571836302	3	1	2
baby	0.0012894979571836302	12.739630667520256	0.1922435745302603	0.004320495604724207	0.0	4	0	5
squirrels	0.0	0.004320495604724207	0.0012894979571836302	0.0009307271574572777	0.0005927677090071002	9	0	7
began	0.0005927677090071002	0.0009307271574572777	0.0	83.0134052447364	0.23099292527566845	5	0	6
to	0.23099292527566845	83.0134052447364	0.0005927677090071002	14.700795873068273	2.6454653655745175	2	1	2
eat	2.6454653655745175	14.700795873068273	0.23099292527566845	3.911401052169956	3.911401052169956	3	1	2
.	3.911401052169956	3.911401052169956	2.6454653655745175	0.0	0.0	1	0	0
_START_	2.89174061585493	0.0	0.0	2.89174061585493	0.08594705249092478	0	1	0
Sam	0.08594705249092478	2.89174061585493	2.89174061585493	0.5059877411633666	0.0002478075859267613	3	0	3
and	0.0002478075859267613	0.5059877411633666	0.08594705249092478	0.19143639634349283	6.061998535203349e-05	3	1	3
Jo	6.061998535203349e-05	0.19143639634349283	0.0002478075859267613	0.0030548146278047057	0.0009637474843672077	2	0	3
smiled	0.0009637474843672077	0.0030548146278047057	6.061998535203349e-05	6.653336726469474	0.011531066804500873	6	0	6
,	0.011531066804500873	6.653336726469474	0.0009637474843672077	7.919675513277503	0.7765610609928937	1	0	0
knowing	0.7765610609928937	7.919675513277503	0.011531066804500873	3.714220644619896	0.0	7	0	5
the	0.0	3.714220644619896	0.7765610609928937	0.18400902704830213	0.009513367386664962	3	1	2
squirrels	0.009513367386664962	0.18400902704830213	0.0	0.04155169602564455	0.0	9	0	7
were	0.0	0.04155169602564455	0.009513367386664962	0.4969211658113099	0.005719155810137674	4	1	3
safe	0.005719155810137674	0.4969211658113099	0.0	0.26343495341243145	0.00299859246813553	4	0	4
with	0.00299859246813553	0.26343495341243145	0.005719155810137674	65.91353155168004	0.2555215652946034	4	1	3
their	0.2555215652946034	65.91353155168004	0.00299859246813553	3.2912687805160425	0.3863919412315076	5	1	3
mother	0.3863919412315076	3.2912687805160425	0.2555215652946034	14.24515002155636	14.24515002155636	6	0	5
.	14.24515002155636	14.24515002155636	0.3863919412315076	0.0	0.0	1	0	0
