token	ngram_1_1	ngram_1_0	ngram_2_0	word_len	cmu_len	dolch_0a	dolch_0b	dolch_1	dolch_2	dolch_3	occ_0	occ_1	occ_2	occ_3	occ_4	occ_5	occ_6	occ_7	occ_8	occ_9
_START_	2.89174061585493	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Sam	0.08594705249092480	2.89174061585493	2.89174061585493	3	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
and	0.00024780758592676100	0.5059877411633670	0.08594705249092480	3	3	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Jo	0.001364227892765730	0.19143639634349300	0.00024780758592676100	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
went	0.0	0.007794779787020880	0.001364227892765730	4	4	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
for	0.5991085391549300	1.8312737434736500	0.0	3	3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
a	0.020795398032667500	455.6137557569930	0.5991085391549300	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
hike	0.02218676037062490	0.14828944676791700	0.020795398032667500	4	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
.	0.14138794884786000	0.14138794884786000	0.02218676037062490	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	516.7512070806510	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
They	2.143456042603490	516.7512070806510	516.7512070806510	4	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
took	0.4891215144384590	7.3720450994888300	2.143456042603490	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
a	0.013348832254503500	20.357887240338600	0.4891215144384590	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
path	0.19570319115804500	3.115460870035010	0.013348832254503500	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
through	0.43893107782837100	0.6757898315317620	0.19570319115804500	7	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
the	0.8939807871609480	231.0486749488740	0.43893107782837100	3	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
woods	1.7494754226719700	9.2612583799922	0.8939807871609480	5	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
.	2.9559334267724200	2.9559334267724200	1.7494754226719700	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	8.989785363772430	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Suddenly	2.1965678035672200	8.989785363772430	8.989785363772430	8	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
","	0.0007839821885942200	8.072470439133140	2.1965678035672200	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Sam	0.0020700200624650900	3.814525009652310	0.0007839821885942200	3	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
heard	0.0012393160345863500	0.009989889471206940	0.0020700200624650900	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
a	0.15446689616283000	5.52156406542292	0.0012393160345863500	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
noise	0.005325763288482980	1.559667286512720	0.15446689616283000	5	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
coming	0.033968334433050400	0.042727048303808300	0.005325763288482980	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
from	3.261899220238650	8.778669771587730	0.033968334433050400	4	4	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
the	0.6468114368115070	1114.742050854370	3.261899220238650	3	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
tree	0.025213510147440000	12.631100520552500	0.6468114368115070	4	3	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
above	0.0007837596038930940	0.052859211274008100	0.025213510147440000	5	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
their	0.2661629819714030	1.1480794074259900	0.0007837596038930940	5	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
heads	1.3824804499727500	7.407554691578900	0.2661629819714030	5	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
.	4.034671268412200	4.034671268412200	1.3824804499727500	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	0.8072106868975550	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Jo	0.00016060379551764200	0.8072106868975550	0.8072106868975550	2	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
climbed	0.0	0.00048529661800973100	0.00016060379551764200	7	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
up	0.173426372395893	1.06277384736027	0.0	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
to	0.6955880364524200	131.17478935976700	0.173426372395893	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
see	6.371323545050050	134.25169525317700	0.6955880364524200	3	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
what	1.0661110516364000	13.249146344266600	6.371323545050050	4	3	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
the	0.016553210105680800	55.055492473494300	1.0661110516364000	3	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
noise	0.2459311717333380	6.8492004230825300	0.016553210105680800	5	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
was	0.000649606552748026	0.4418510069629180	0.2459311717333380	3	3	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
and	0.005379679881895120	3.6519633131767300	0.000649606552748026	3	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
found	0.05373948414863720	14.513214275629300	0.005379679881895120	5	4	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
two	0.00040135307361275200	0.6714551583157670	0.05373948414863720	3	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
baby	0.00018470947346774700	0.03270832415865410	0.00040135307361275200	4	4	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
squirrels	0.0005682531592362590	0.004320495604724210	0.00018470947346774700	9	7	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
.	0.17515607905066700	0.17515607905066700	0.0005682531592362590	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	4882.650869014890	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
The	0.09619817185299260	4882.650869014890	4882.650869014890	3	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
babies	0.07449696327945200	0.9800792216121180	0.09619817185299260	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
were	0.00012382677488112300	0.3522890085296790	0.07449696327945200	4	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
alone	0.4357032968878450	0.98172271460409	0.00012382677488112300	5	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
","	1.7402468744804100	50.936337715267900	0.4357032968878450	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
but	7.453380461453490	1358.02655256798	1.7402468744804100	3	3	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
their	0.0202426713497108	11.916591658712700	7.453380461453490	5	3	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
mother	0.003188536396208010	3.2912687805160400	0.0202426713497108	6	4	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
must	0.06597739880115090	0.28631771084449800	0.003188536396208010	4	4	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
be	0.09392526578722030	275.1613973800220	0.06597739880115090	2	2	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
somewhere	0.035337014247343300	0.4433023189478980	0.09392526578722030	9	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
near	0.015493755961275700	0.6358373285227430	0.035337014247343300	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
.	1.5915674167877500	1.5915674167877500	0.015493755961275700	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	4882.650869014890	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
The	5.4618328275581500	4882.650869014890	4882.650869014890	3	2	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
children	0.025022350683271400	51.16408997067630	5.4618328275581500	8	7	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
watched	0.001224359128653990	0.04896972752208610	0.025022350683271400	7	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
and	0.06548803728809040	0.5479914053750210	0.001224359128653990	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
waited	0.64709606322684	2.7555557444131500	0.06548803728809040	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
.	1.6097634927779700	1.6097634927779700	0.64709606322684	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	2.0214238229080500	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Sure	0.5444039330594510	2.0214238229080500	2.0214238229080500	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
enough	1.0567637474889400	1.334180783804510	0.5444039330594510	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
","	2.1627519853851600	39.89236928493450	1.0567637474889400	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
the	3.4100397691011700	3965.816609408770	2.1627519853851600	3	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
mother	0.005181212930460880	31.404440635395100	3.4100397691011700	6	4	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
soon	0.00028178655834029000	0.03078107513503280	0.005181212930460880	4	3	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
returned	0.043309880679976600	0.2611206301093050	0.00028178655834029000	8	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
with	0.5450610474587740	2.258555086808000	0.043309880679976600	4	3	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
a	0.029452744860933300	503.88889182807500	0.5450610474587740	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
mouthful	0.30996734621112500	0.4584524713810300	0.029452744860933300	8	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
of	0.00031042425119491800	0.4167480346391350	0.30996734621112500	2	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
nuts	0.04264995442971860	0.3060133319785170	0.00031042425119491800	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
.	0.9658874090782270	0.9658874090782270	0.04264995442971860	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	4882.650869014890	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
The	0.05815171099754670	4882.650869014890	4882.650869014890	3	2	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0
noises	0.0021743755059228600	0.4289898591840950	0.05815171099754670	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
stopped	6.9917430906827E-05	0.003466037097587540	0.0021743755059228600	7	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
as	0.02378749548521210	0.25494301175073300	6.9917430906827E-05	2	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
the	0.1922435745302600	597.5218315500970	0.02378749548521210	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
baby	0.0012894979571836300	12.739630667520300	0.1922435745302600	4	4	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
squirrels	0.0	0.004320495604724210	0.0012894979571836300	9	7	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
began	0.0005927677090071000	0.0009307271574572780	0.0	5	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
to	0.23099292527566800	83.0134052447364	0.0005927677090071000	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
eat	2.645465365574520	14.700795873068300	0.23099292527566800	3	2	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
.	3.911401052169960	3.911401052169960	2.645465365574520	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
_START_	2.89174061585493	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Sam	0.08594705249092480	2.89174061585493	2.89174061585493	3	3	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
and	0.00024780758592676100	0.5059877411633670	0.08594705249092480	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Jo	6.06199853520335E-05	0.19143639634349300	0.00024780758592676100	2	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
smiled	0.0009637474843672080	0.0030548146278047100	6.06199853520335E-05	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
","	0.011531066804500900	6.653336726469470	0.0009637474843672080	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
knowing	0.7765610609928940	7.919675513277500	0.011531066804500900	7	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
the	0.0	3.714220644619900	0.7765610609928940	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
squirrels	0.009513367386664960	0.18400902704830200	0.0	9	7	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
were	0.0	0.04155169602564460	0.009513367386664960	4	2	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
safe	0.005719155810137670	0.4969211658113100	0.0	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
with	0.00299859246813553	0.26343495341243100	0.005719155810137670	4	3	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
their	0.2555215652946030	65.91353155168000	0.00299859246813553	5	3	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
mother	0.3863919412315080	3.2912687805160400	0.2555215652946030	6	4	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
.	14.24515002155640	14.24515002155640	0.3863919412315080	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0